GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ModuleTesting,edu.innotech,Starter,24,0,0,0,7,0,2,0,2,0
ModuleTesting,edu.innotech,Student,141,51,30,4,3,13,21,8,6,6
